"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7547","test","webkit","Fri Jan 17 01:36:35 CST 2025","passed","Fri Jan 17 01:36:43 CST 2025","","test3-login error.spec.js","",""
"","30017","test","firefox","Fri Jan 17 01:36:30 CST 2025","broken","Fri Jan 17 01:37:00 CST 2025","","test4-logout.spec.js","",""
"","4406","test","chromium","Fri Jan 17 01:36:26 CST 2025","passed","Fri Jan 17 01:36:31 CST 2025","","test3-login error.spec.js","",""
"","6474","test","firefox","Fri Jan 17 01:36:31 CST 2025","passed","Fri Jan 17 01:36:37 CST 2025","","test3-login error.spec.js","",""
"","3256","test","chromium","Fri Jan 17 01:36:26 CST 2025","passed","Fri Jan 17 01:36:30 CST 2025","","test5-menu.spec.js","",""
"","2977","test","chromium","Fri Jan 17 01:36:26 CST 2025","passed","Fri Jan 17 01:36:29 CST 2025","","test2-login.spec.js","",""
"","2088","test","chromium","Fri Jan 17 01:36:26 CST 2025","passed","Fri Jan 17 01:36:29 CST 2025","","test1-page validation.spec.js","",""
"","4317","test","webkit","Fri Jan 17 01:36:35 CST 2025","passed","Fri Jan 17 01:36:40 CST 2025","","test2-login.spec.js","",""
"","3953","test","firefox","Fri Jan 17 01:36:29 CST 2025","passed","Fri Jan 17 01:36:33 CST 2025","","test2-login.spec.js","",""
"","4944","test","firefox","Fri Jan 17 01:36:31 CST 2025","passed","Fri Jan 17 01:36:36 CST 2025","","test5-menu.spec.js","",""
"","2757","test","webkit","Fri Jan 17 01:36:32 CST 2025","passed","Fri Jan 17 01:36:35 CST 2025","","test1-page validation.spec.js","",""
"","4974","test","webkit","Fri Jan 17 01:36:39 CST 2025","passed","Fri Jan 17 01:36:44 CST 2025","","test5-menu.spec.js","",""
"","30019","test","webkit","Fri Jan 17 01:36:38 CST 2025","broken","Fri Jan 17 01:37:08 CST 2025","","test4-logout.spec.js","",""
"","30013","test","chromium","Fri Jan 17 01:36:26 CST 2025","broken","Fri Jan 17 01:36:56 CST 2025","","test4-logout.spec.js","",""
"","2662","test","firefox","Fri Jan 17 01:36:26 CST 2025","passed","Fri Jan 17 01:36:29 CST 2025","","test1-page validation.spec.js","",""
